127.0.0.1 - - [26/Feb/2024:08:59:12 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Feb/2024:08:59:21 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:08:59:22 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:00:08 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:00:08 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:00:17 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 6159
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:00:21 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:02:30 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10992
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:02:30 +0630] "GET /University/img/tyi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:02:30 +0630] "GET /University/img/ty.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:24:49 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10895
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:24:49 +0630] "GET /University/AdminLTE/User/ty.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:24:49 +0630] "GET /University/AdminLTE/User/tyi.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:25:29 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10895
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:25:29 +0630] "GET /University/AdminLTE/User/ty.jpg HTTP/1.1" 404 794
