127.0.0.1 - - [10/Mar/2024:14:23:42 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:43 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:44 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:49 +0630] "POST /University/login HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:55 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:55 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:55 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:23:55 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:34 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:34 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:34 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:54 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:54 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:54 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:24:59 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5270
